volunteer activity	-0.5492098	1.0321726	-1.6397632	-0.36375573	1.302527	1.481071	-0.7643757	0.3165895	-1.6611946	0.89379895	1.4013019	0.108297914	-1.327432	1.1022856	-0.61580783	0.4019758	0.864654	-1.96724	0.5070604	0.36176917	0.0029430166	-0.8360124	-0.81904805	0.15768096	0.08980789	0.7146616	1.706123	0.2184729	0.05108454	0.53854	0.74424326	0.6380743	-1.0619309	2.064843	0.7553105	0.6426734	0.4334602	2.6270263	-0.9075204	1.5965579	-0.2580942	-0.6548016	-0.71197104	0.19976339	-0.681785	-1.2592939	0.42596233	0.39607075	1.2585096	0.6909351
large firm	0.7280299	-1.2196531	-1.592846	-0.0003029853	-0.25695822	0.106506556	1.9652917	2.2656674	-0.2713009	-0.10955028	1.0375262	-0.20443396	-0.36296687	1.9270538	1.2498914	-0.18868382	-0.2570893	0.14445114	-1.4240707	0.25634587	-0.5554741	-0.442065	-0.4481241	-0.46769586	-0.95110255	-1.0875356	-1.2351192	-1.6983773	0.6413379	2.5627277	0.68985444	-0.30620554	0.06772214	0.59319097	-0.1868667	0.253494	-0.86494184	-0.012588078	-0.23879984	0.1945658	0.78681445	-1.4094043	-0.28809875	-0.6008123	0.1414183	-2.001881	-0.26477632	-0.011678461	1.189302	0.87982345
column	-1.554468	1.1349635	-1.1760092	1.0590676	1.3152407	1.0435145	-1.4592227	0.25892806	0.11661602	-0.28546843	0.16230977	-0.59433174	-0.9082585	0.3907845	1.3096963	-0.56618255	0.54200315	-0.6092453	0.7687939	-1.1559249	1.1214561	1.3124453	-0.41028294	0.7029922	0.39812663	0.66439307	2.2236662	0.57003015	-0.019034404	0.94552976	0.98722804	0.1466509	0.5659302	-0.599205	0.30855358	1.1591336	0.008101486	0.28513494	1.6758945	-2.6372724	0.32522488	0.90990394	-1.238351	-0.20788573	-0.19411254	1.0378076	-0.61784977	-0.93281335	-0.039361544	0.6691888
information	-0.49154332	-0.64669454	-0.99847484	-0.3920842	0.27134955	0.5840797	-0.5228577	-0.29400617	-0.77965844	1.1699874	-0.32475236	0.23146527	-0.95148194	0.14523035	-0.43406656	-0.23501463	0.82961863	0.017924864	0.57615644	1.2159392	0.15345283	-0.83845824	-1.4511228	-0.70301515	0.37874693	0.7081143	-1.8187703	0.45148182	-0.2638998	1.016041	-0.21125536	0.17948903	1.0441976	-0.7802833	0.17797755	1.586281	0.6689792	0.3133239	0.15138505	0.4492327	0.6630845	0.37924895	0.2469907	-0.28344795	0.77735806	-0.4385267	-0.52169454	-0.5521577	-0.23922653	0.7362944
controversial topic	-0.6645238	0.57994205	0.065076	-0.54485106	-2.3692408	0.80785	-1.4919841	1.5721622	-0.20217772	0.86820984	0.30909058	-1.3447436	-0.12498354	0.34725267	-0.644699	-0.020696249	-0.17399243	-0.22372949	2.388143	0.4991415	-1.8570288	0.3422621	-0.663049	-0.24533609	2.0181546	-0.42709833	-0.8567616	0.5464682	-1.789115	-0.77577645	0.95540404	0.28768483	1.3672652	-0.03670823	-0.7922184	1.0762875	0.86920637	-0.51239777	-1.1687375	-3.015941	-1.2566186	-1.4792503	1.8333666	0.6723944	0.74175143	2.501753	1.0462288	-0.16287471	0.21559031	-0.38911855
scientific discipline	1.0357322	0.22943826	0.62985194	1.4608516	1.0753752	0.6426733	0.6764846	-0.18379666	0.91899854	-0.5890643	-0.16318667	1.1499032	1.3872045	-1.0004827	-0.81672454	-1.7294825	0.8667913	-0.8494615	1.4089787	0.70837677	1.3224726	-0.53278136	-0.13595675	1.5321013	0.21573153	0.9834198	0.139082	0.2903134	-0.5314895	0.17470227	-1.6007981	-2.049794	-0.1181304	0.053873144	0.77021885	-0.21919806	1.0335643	0.33274347	-0.76524425	0.47550258	-0.093958974	-2.0175512	-1.4152079	-1.3025813	1.768796	0.5372068	-0.40234333	-1.8554484	-1.3443261	-1.2532593
terminology	-1.4270399	-0.47240618	1.3016162	-1.7215669	0.00093381293	0.13358302	-1.5235572	-0.41968957	-1.4477388	1.6976793	0.7067914	0.71388954	0.0210758	-2.0761402	-0.16677982	0.6670384	0.26607144	0.82415885	0.51154125	2.163535	0.21720156	-0.9759062	-1.7657113	-0.71435285	-0.83970964	-2.105605	-0.51559776	1.4214134	1.266523	-0.9239782	0.52299833	-0.38229176	-0.111173905	-1.4614906	0.12316623	-0.65698576	-1.4667696	-0.30235654	0.26869303	-0.6765655	-0.7188255	0.52465755	1.0332373	-0.047717832	0.30195078	-0.45908174	-0.4777129	-0.3968295	0.7688667	0.6435137
quality material	0.6666459	-1.0925119	-1.9382777	-0.020159649	-0.42635703	-0.75701696	0.24921682	-0.4951157	0.5592524	-0.31167138	1.2432863	-1.7476575	0.6902631	-2.7482436	1.6145006	-0.06351312	2.2251346	-1.6908014	-1.28964	2.4480045	-0.036563363	-1.412938	1.5971074	-0.26778993	-1.6330181	-0.20469737	0.82182825	0.6229917	-0.048897542	0.59816074	-0.23479798	-1.312735	-0.01453452	-2.3677654	-0.003405245	-0.6332134	-0.8845894	-0.91565484	-0.3298334	-0.97876847	-0.14014776	-0.2413041	-0.06805553	-0.08167473	-2.3116884	0.7162319	-0.21050009	-0.06598584	-0.54640824	-0.41819245
committee	-1.6637982	-1.5573893	-1.2333422	0.21428135	-0.31839752	0.40165934	2.795859	-0.91417056	-0.78363395	2.2804427	1.865912	0.94925606	0.13430248	0.4393981	-0.069790184	2.1748564	0.34227937	-3.0244155	0.62051314	1.2537773	-0.9636931	0.86943513	0.5945881	-0.15311675	1.4219322	0.80550474	-0.15750335	0.46169728	-0.6001023	-0.18553247	0.12780702	0.8507195	-0.80157125	1.0405747	-0.027254302	0.29918066	-0.15528719	-1.678166	0.8838785	-1.2415879	1.1516968	-0.8779726	0.41313225	-0.45495063	-0.59597117	1.0176252	1.091809	1.0052086	1.6955245	1.4619043
headliner	-0.26039648	1.3631386	0.30502966	0.26135114	-0.60283464	-2.2917092	-0.032091506	1.3521715	1.8001152	-1.2173196	-0.3353016	-0.6170714	0.87354475	0.9605126	-0.5067686	-1.7722793	0.40776497	-1.9581392	-0.23561344	0.840818	0.39573902	0.30762193	-0.5139502	-0.9625577	-1.2791051	-0.9659481	-0.5349525	-0.11992035	-0.9186446	2.9352324	-1.035633	0.09922033	0.6099557	-0.46812713	-1.3213159	0.033042744	-0.5107214	-0.71266073	1.2774721	0.64328	0.25368527	-1.0282978	-0.25067332	0.86938214	0.8313098	0.16299461	0.7405146	1.9467949	-0.79251903	-0.32402545
