Epoch	Updates	PosLoss	NegLoss	DevLoss	DevMAP	DevAP	DevMRR	TimeElapsed
81	17	0.2140	1.3923	1.5592	0.0667	1.0000	1.0000	455.1s
82	15	0.2302	1.4240	1.5588	0.0667	1.0000	1.0000	462.8s
83	16	0.1711	1.2798	1.5602	0.0667	1.0000	1.0000	470.2s
84	16	0.1846	1.3604	1.5635	0.0667	1.0000	1.0000	477.7s
85	17	0.1780	1.3133	1.5678	0.0667	1.0000	1.0000	485.6s
86	15	0.1746	1.2867	1.5727	0.0667	1.0000	1.0000	492.3s
87	16	0.1870	1.2292	1.5770	0.0667	1.0000	1.0000	499.7s
88	15	0.2002	1.3122	1.5777	0.0667	1.0000	1.0000	506.4s
89	16	0.1645	1.4925	1.5782	0.0667	1.0000	1.0000	513.0s
90	16	0.1682	1.1659	1.5807	0.0667	1.0000	1.0000	520.2s
91	16	0.1537	1.2369	1.5851	0.0667	1.0000	1.0000	527.8s
92	16	0.1518	1.2558	1.5896	0.0667	1.0000	1.0000	535.1s
93	15	0.1676	1.4105	1.5925	0.0667	1.0000	1.0000	542.0s
94	14	0.1409	1.1890	1.5935	0.0667	1.0000	1.0000	548.5s
95	16	0.1362	1.1468	1.5998	0.0667	1.0000	1.0000	555.4s
96	17	0.1188	1.2604	1.6033	0.0667	1.0000	1.0000	563.1s
97	15	0.1393	1.2234	1.6054	0.0667	1.0000	1.0000	569.7s
98	16	0.1506	1.2298	1.6088	0.0667	1.0000	1.0000	576.8s
99	17	0.1309	1.1696	1.6124	0.0667	1.0000	1.0000	584.1s
100	15	0.1331	1.2434	1.6146	0.0667	1.0000	1.0000	591.2s
101	16	0.1146	1.2809	1.6161	0.0000	0.0000	0.0000	599.1s
102	16	0.1226	1.2829	1.6150	0.0000	0.0000	0.0000	607.1s
103	17	0.0989	1.1360	1.6158	0.0000	0.0000	0.0000	614.5s
104	16	0.1074	1.2636	1.6173	0.0000	0.0000	0.0000	621.7s
105	16	0.1144	1.2719	1.6190	0.0000	0.0000	0.0000	629.3s
106	16	0.0940	1.2713	1.6181	0.0000	0.0000	0.0000	636.5s
107	17	0.0889	1.3325	1.6190	0.0000	0.0000	0.0000	644.0s
108	15	0.0915	1.1564	1.6198	0.0000	0.0000	0.0000	651.1s
109	17	0.1049	1.2264	1.6201	0.0000	0.0000	0.0000	658.5s
110	17	0.0878	1.3141	1.6164	0.0000	0.0000	0.0000	666.3s
111	15	0.0987	1.1699	1.6175	0.0000	0.0000	0.0000	673.1s
112	15	0.0937	1.1088	1.6195	0.0000	0.0000	0.0000	680.2s
113	16	0.0939	1.1445	1.6233	0.0000	0.0000	0.0000	687.2s
114	16	0.0843	1.0931	1.6262	0.0000	0.0000	0.0000	694.4s
115	15	0.1047	1.1819	1.6263	0.0000	0.0000	0.0000	701.4s
116	17	0.0599	1.1661	1.6280	0.0000	0.0000	0.0000	709.2s
117	17	0.0775	1.1633	1.6262	0.0000	0.0000	0.0000	717.1s
118	15	0.0872	1.2429	1.6248	0.0000	0.0000	0.0000	724.5s
119	16	0.0712	1.0836	1.6263	0.0000	0.0000	0.0000	732.1s
120	16	0.0734	1.0278	1.6297	0.0000	0.0000	0.0000	739.7s
121	16	0.0593	1.0224	1.6340	0.0000	0.0000	0.0000	748.0s
122	16	0.0686	1.1054	1.6369	0.0000	0.0000	0.0000	756.0s
123	15	0.0731	1.1697	1.6375	0.0000	0.0000	0.0000	764.0s
124	16	0.0690	1.2042	1.6375	0.0000	0.0000	0.0000	771.9s
125	16	0.0488	1.0499	1.6379	0.0000	0.0000	0.0000	779.8s
126	17	0.0683	1.1530	1.6387	0.0000	0.0000	0.0000	788.1s
127	16	0.0673	1.0909	1.6395	0.0000	0.0000	0.0000	796.4s
128	15	0.0640	1.1327	1.6398	0.0000	0.0000	0.0000	803.6s
129	17	0.0573	1.2412	1.6414	0.0000	0.0000	0.0000	811.7s
130	16	0.0570	1.1020	1.6412	0.0000	0.0000	0.0000	820.2s
131	17	0.0537	1.0530	1.6414	0.0000	0.0000	0.0000	828.9s
132	16	0.0654	1.0431	1.6420	0.0000	0.0000	0.0000	838.0s
133	15	0.0615	1.1216	1.6433	0.0000	0.0000	0.0000	845.6s
134	16	0.0374	0.9483	1.6487	0.0000	0.0000	0.0000	853.4s
135	17	0.0534	1.0342	1.6502	0.0000	0.0000	0.0000	861.6s
136	16	0.0601	1.0182	1.6485	0.0000	0.0000	0.0000	869.3s
137	16	0.0414	1.0311	1.6488	0.0000	0.0000	0.0000	876.7s
138	17	0.0470	0.9462	1.6495	0.0000	0.0000	0.0000	884.5s
139	18	0.0381	1.0575	1.6508	0.0000	0.0000	0.0000	892.9s
140	16	0.0375	1.0448	1.6503	0.0000	0.0000	0.0000	900.6s
141	15	0.0432	1.0302	1.6521	0.0000	0.0000	0.0000	908.2s
142	17	0.0364	1.0478	1.6517	0.0000	0.0000	0.0000	916.8s
143	16	0.0342	1.0406	1.6504	0.0000	0.0000	0.0000	927.5s
144	16	0.0370	1.0710	1.6499	0.0000	0.0000	0.0000	935.8s
145	17	0.0435	0.9777	1.6498	0.0000	0.0000	0.0000	943.9s
146	16	0.0371	0.9517	1.6546	0.0000	0.0000	0.0000	952.5s
147	15	0.0328	0.9573	1.6583	0.0000	0.0000	0.0000	959.7s
148	16	0.0338	1.0063	1.6589	0.0000	0.0000	0.0000	967.8s
149	17	0.0314	0.9072	1.6620	0.0000	0.0000	0.0000	976.2s
150	15	0.0311	0.9923	1.6634	0.0000	0.0000	0.0000	984.2s
151	15	0.0331	1.1654	1.6612	0.0000	0.0000	0.0000	992.7s
152	17	0.0260	1.1328	1.6571	0.0000	0.0000	0.0000	1000.7s
153	15	0.0317	1.0081	1.6538	0.0000	0.0000	0.0000	1008.2s
154	16	0.0371	0.9383	1.6537	0.0000	0.0000	0.0000	1016.6s
155	15	0.0302	0.9071	1.6566	0.0000	0.0000	0.0000	1024.6s
156	17	0.0316	0.9598	1.6587	0.0000	0.0000	0.0000	1032.5s
157	15	0.0291	0.8218	1.6627	0.0000	0.0000	0.0000	1039.6s
158	16	0.0244	0.9700	1.6650	0.0000	0.0000	0.0000	1047.0s
159	17	0.0239	0.9187	1.6662	0.0000	0.0000	0.0000	1054.5s
160	15	0.0281	1.1632	1.6630	0.0000	0.0000	0.0000	1061.7s
161	15	0.0247	0.9950	1.6621	0.0000	0.0000	0.0000	1068.6s
162	17	0.0213	0.9230	1.6615	0.0000	0.0000	0.0000	1076.1s
163	16	0.0207	0.7507	1.6634	0.0000	0.0000	0.0000	1083.2s
164	16	0.0252	0.8922	1.6691	0.0000	0.0000	0.0000	1090.3s
165	16	0.0218	0.9846	1.6700	0.0000	0.0000	0.0000	1097.4s
166	17	0.0187	0.8643	1.6723	0.0000	0.0000	0.0000	1104.9s
167	16	0.0198	0.9837	1.6716	0.0000	0.0000	0.0000	1112.1s
168	16	0.0219	1.0023	1.6681	0.0000	0.0000	0.0000	1119.2s
169	16	0.0202	0.9306	1.6685	0.0000	0.0000	0.0000	1126.6s
170	15	0.0197	0.9077	1.6676	0.0000	0.0000	0.0000	1133.4s
171	17	0.0188	0.8706	1.6680	0.0000	0.0000	0.0000	1140.9s
172	16	0.0196	0.8858	1.6686	0.0000	0.0000	0.0000	1148.1s
173	15	0.0187	0.8767	1.6704	0.0000	0.0000	0.0000	1154.9s
174	16	0.0202	0.9954	1.6687	0.0000	0.0000	0.0000	1162.1s
175	16	0.0127	0.8273	1.6723	0.0000	0.0000	0.0000	1169.2s
176	17	0.0193	0.8722	1.6736	0.0000	0.0000	0.0000	1176.7s
177	16	0.0172	0.8222	1.6752	0.0000	0.0000	0.0000	1184.0s
178	15	0.0187	1.0754	1.6740	0.0000	0.0000	0.0000	1190.9s
179	17	0.0117	0.9355	1.6726	0.0000	0.0000	0.0000	1198.4s
180	17	0.0186	0.8240	1.6721	0.0000	0.0000	0.0000	1206.9s
181	15	0.0145	1.0294	1.6697	0.0000	0.0000	0.0000	1214.0s
182	15	0.0144	0.9030	1.6667	0.0000	0.0000	0.0000	1222.5s
183	16	0.0174	0.8620	1.6647	0.0000	0.0000	0.0000	1233.6s
184	16	0.0138	0.8360	1.6635	0.0000	0.0000	0.0000	1241.4s
185	15	0.0135	0.8453	1.6641	0.0000	0.0000	0.0000	1249.0s
186	16	0.0117	0.7791	1.6651	0.0000	0.0000	0.0000	1256.2s
187	15	0.0126	0.9959	1.6663	0.0000	0.0000	0.0000	1263.9s
188	16	0.0108	0.8467	1.6657	0.0000	0.0000	0.0000	1272.4s
189	16	0.0122	0.7039	1.6713	0.0000	0.0000	0.0000	1280.0s
190	15	0.0135	0.9384	1.6725	0.0000	0.0000	0.0000	1287.2s
191	16	0.0093	0.8007	1.6740	0.0000	0.0000	0.0000	1294.3s
192	15	0.0127	0.7387	1.6751	0.0000	0.0000	0.0000	1302.7s
193	16	0.0118	0.6389	1.6803	0.0000	0.0000	0.0000	1312.5s
194	17	0.0082	0.8656	1.6819	0.0000	0.0000	0.0000	1321.1s
195	16	0.0088	0.7569	1.6846	0.0000	0.0000	0.0000	1329.9s
196	16	0.0146	0.8463	1.6832	0.0000	0.0000	0.0000	1337.6s
197	15	0.0101	0.6941	1.6839	0.0000	0.0000	0.0000	1344.9s
198	17	0.0076	0.7204	1.6886	0.0000	0.0000	0.0000	1352.7s
199	17	0.0061	0.9091	1.6875	0.0000	0.0000	0.0000	1360.5s
200	15	0.0072	0.7756	1.6843	0.0000	0.0000	0.0000	1367.5s
